season,driver,team,races,total_points,avg_grid_position,avg_finish_position,podiums,wins,points_finishes,estimated_overtakes,points_per_race,podium_rate,points_finish_rate,overtakes_per_race,qualifying_score,points_norm,qualifying_norm,podium_norm,overtake_norm,performance_score,season_percentile,driver_class
2024,TSU,RB F1 Team,5,7.0,11.4,13.0,0,0,2,1.0,1.4,0.0,0.4,0.2,8.6,0.06862745098039216,0.4222222222222222,0.0,0.0625,0.12500816993464053,0.38095238095238093,Average
2024,VER,Red Bull,5,102.0,1.0,4.6,4,4,4,0.0,20.4,0.8,0.8,0.0,19.0,1.0,1.0,1.0,0.0,0.8999999999999999,1.0,Elite
2024,ZHO,Sauber,5,0.0,18.4,15.2,0,0,0,16.0,0.0,0.0,0.0,3.2,1.6000000000000014,0.0,0.03333333333333341,0.0,1.0,0.10666666666666669,0.3333333333333333,Average
2025,ALB,Williams,5,20.0,10.2,8.4,0,0,4,9.0,4.0,0.0,0.8,1.8,8.600000000000001,0.21739130434782608,0.4750000000000001,0.0,0.3333333333333333,0.23702898550724638,0.65,Strong
2025,ALO,Aston Martin,5,0.0,12.6,14.2,0,0,0,3.0,0.0,0.0,0.0,0.6,6.200000000000001,0.0,0.32500000000000007,0.0,0.1111111111111111,0.07611111111111113,0.2,Weak
2025,ANT,Mercedes,5,36.0,8.0,6.6,0,0,4,14.0,7.2,0.0,0.8,2.8,10.8,0.391304347826087,0.6125,0.0,0.5185185185185185,0.3700040257648954,0.75,Strong
2025,BEA,Haas F1 Team,5,6.0,16.4,11.0,0,0,3,27.0,1.2,0.0,0.6,5.4,2.400000000000002,0.06521739130434782,0.08750000000000013,0.0,1.0,0.15010869565217394,0.55,Strong
2025,BOR,Sauber,5,0.0,17.8,17.0,0,0,0,7.0,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.25925925925925924,0.025925925925925925,0.05,Weak
2025,DOO,Alpine F1 Team,5,0.0,15.8,15.6,0,0,0,9.0,0.0,0.0,0.0,1.8,3.0,0.0,0.125,0.0,0.3333333333333333,0.058333333333333334,0.1,Weak
2025,GAS,Alpine F1 Team,5,6.0,9.8,14.2,0,0,1,0.0,1.2,0.0,0.2,0.0,9.0,0.06521739130434782,0.5,0.0,0.0,0.13260869565217392,0.4,Average
2025,HAD,RB F1 Team,5,5.0,10.2,12.4,0,0,2,4.0,1.0,0.0,0.4,0.8,8.600000000000001,0.05434782608695652,0.4750000000000001,0.0,0.14814814814814814,0.1369887278582931,0.5,Average
2025,HAM,Ferrari,5,23.0,7.4,9.6,0,0,4,5.0,4.6,0.0,0.8,1.0,11.4,0.25,0.65,0.0,0.18518518518518517,0.2735185185185185,0.7,Strong
2025,HUL,Sauber,5,6.0,15.8,14.6,0,0,1,13.0,1.2,0.0,0.2,2.6,3.0,0.06521739130434782,0.125,0.0,0.48148148148148145,0.10575684380032206,0.25,Average
2025,LAW,RB F1 Team,5,0.0,16.0,14.4,0,0,0,12.0,0.0,0.0,0.0,2.4,2.8000000000000007,0.0,0.11250000000000004,0.0,0.4444444444444444,0.06694444444444446,0.15,Weak
2025,LEC,Ferrari,5,43.0,4.6,7.4,1,0,4,1.0,8.6,0.2,0.8,0.2,14.200000000000001,0.4673913043478261,0.8250000000000001,0.25,0.037037037037037035,0.4523993558776168,0.8,Strong
2025,NOR,McLaren,5,88.0,4.4,2.4,4,1,5,10.0,17.6,0.8,1.0,2.0,14.4,0.9565217391304348,0.8375,1.0,0.37037037037037035,0.8827979066022544,0.95,Elite
2025,OCO,Haas F1 Team,5,14.0,16.2,11.6,0,0,2,23.0,2.8,0.0,0.4,4.6,2.6000000000000014,0.15217391304347827,0.10000000000000009,0.0,0.8518518518518519,0.18127214170692435,0.6,Strong
2025,PIA,McLaren,5,92.0,1.8,3.0,4,3,5,1.0,18.4,0.8,1.0,0.2,17.0,1.0,1.0,1.0,0.037037037037037035,0.9037037037037036,1.0,Elite
2025,RUS,Mercedes,5,68.0,3.4,3.6,3,0,5,2.0,13.6,0.6,1.0,0.4,15.4,0.7391304347826086,0.9,0.75,0.07407407407407407,0.7069726247987118,0.85,Elite
2025,SAI,Williams,5,5.0,10.8,13.8,0,0,2,6.0,1.0,0.0,0.4,1.2,8.0,0.05434782608695652,0.4375,0.0,0.2222222222222222,0.1368961352657005,0.45,Average
2025,STR,Aston Martin,5,10.0,16.4,13.6,0,0,2,14.0,2.0,0.0,0.4,2.8,2.400000000000002,0.10869565217391304,0.08750000000000013,0.0,0.5185185185185185,0.1236996779388084,0.3,Average
2025,TSU,Red Bull,5,2.0,9.2,13.6,0,0,1,3.0,0.4,0.0,0.2,0.6,9.600000000000001,0.021739130434782608,0.5375000000000001,0.0,0.1111111111111111,0.12948067632850244,0.35,Average
2025,VER,Red Bull,5,81.0,3.2,3.0,3,1,5,2.0,16.2,0.6,1.0,0.4,15.600000000000001,0.8804347826086957,0.9125000000000001,0.75,0.07407407407407407,0.7801247987117553,0.9,Elite
