season,round,event_date,event_name,country,location,event_format,driver,driver_number,team,grid_position,finish_position,points,status,winner,podium
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,RUS,63,Williams,16.0,15.0,0.0,+2 Laps,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,KUB,88,Williams,0.0,16.0,0.0,+2 Laps,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,GAS,10,Red Bull,0.0,17.0,0.0,Transmission,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,GRO,8,Haas F1 Team,14.0,18.0,0.0,Brakes,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,KVY,26,Toro Rosso,6.0,19.0,0.0,Collision,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,RIC,3,Renault,10.0,20.0,0.0,Collision,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,HAM,44,Mercedes,2.0,1.0,26.0,Finished,1,1
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,BOT,77,Mercedes,1.0,2.0,18.0,Finished,0,1
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,VER,3,Red Bull,4.0,3.0,15.0,Finished,0,1
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,VET,5,Ferrari,3.0,4.0,12.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,LEC,16,Ferrari,5.0,5.0,10.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,GAS,10,Red Bull,6.0,6.0,8.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,MAG,20,Haas F1 Team,8.0,7.0,6.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,SAI,55,McLaren,12.0,8.0,4.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,KVY,26,Toro Rosso,9.0,9.0,2.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,GRO,8,Haas F1 Team,7.0,10.0,1.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,ALB,23,Toro Rosso,11.0,11.0,0.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,RIC,3,Renault,13.0,12.0,0.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,HUL,27,Renault,0.0,13.0,0.0,Finished,0,0
2019,5,2019-05-12,Spanish Grand Prix,Spain,Barcelona,conventional,RAI,7,Alfa Romeo,14.0,14.0,0.0,Finished,0,0
